ID	Label	Synonyms	Definition	Definition Source	Editor	Type	Parent Class	Subclass Context	Subclass Competency	Domain	Range	See Also	Comment
ID	A rdfs:label	A IAO:0000118 SPLIT=;	A IAO:0000115	>A IAO:0000119	A IAO:0000117	TYPE	SC % SPLIT=;	SC % SPLIT=;	SC % SPLIT=;	DOMAIN	RANGE	AI rdfs:seeAlso	A rdfs:comment
IAO:0000115	definition		The official definition, explaining the meaning of a class or property. Shall be Aristotelian, formalized and normalized. Can be augmented with colloquial definitions.	IAO	Allyson Lister	owl:AnnotationProperty							Allyson Lister 8.10.2019: Although the IAO definition has been included here, we have made a curation decision to allow non-Aristotelian definitions.
IAO:0000117	term editor		Name of editor entering the term in the file. The term editor is a point of contact for information regarding the term. The term editor may be, but is not always, the author of the definition, which may have been worked upon by several people	IAO	Allyson Lister	owl:AnnotationProperty							
IAO:0000118	alternative term		An alternative name for a class or property which means the same thing as the preferred name (semantically equivalent)	IAO	Allyson Lister	owl:AnnotationProperty							
IAO:0000119	definition source		formal citation, e.g. identifier in external database to indicate / attribute source(s) for the definition. Free text indicate / attribute source(s) for the definition. EXAMPLE: Author Name, URI, MeSH Term C04, PUBMED ID, Wiki uri on 31.01.2007	IAO	Allyson Lister	owl:AnnotationProperty							
fso:FSO_0000001	Context	??	??	??	??		owl:Thing						
fso:FSO_0000002	Competency	??	??	??	??		owl:Thing						
fso:FSO_0000003	Project	??	??	??	??		Context						
fso:FSO_0000004	Organization	Organisation	??	??	Allyson Lister		Context						
fso:FSO_0000005	Skills	??	??	??	??		Competency						
fso:FSO_0000006	Knowledge	??	??	??	??		Competency						
fso:FSO_0000007	Attitudes	??	??	??	??		Competency						
fso:FSO_0000008	has context	??	??	??	Allyson Lister	owl:ObjectProperty					Context		
fso:FSO_0000009	has competency	??	??	??	Allyson Lister	owl:ObjectProperty					Competency		
fso:FSO_0000010	Plan	??	??	FAIR 4 Skills	Celia van Gelder, Mateusz Kuzak, Yan Wang		owl:Thing	('has context' some Project); ('has context' only Project)					
fso:FSO_0000011	Plan stewardship and sharing of FAIR outputs	??	??	??	Celia van Gelder, Mateusz Kuzak, Yan Wang		Plan						
fso:FSO_0000012	data stewardship planning	data management planning	Plan on the findability, access, archive and reuse of data/code in the project, employing proper techniques to make these actionable for project objectives. 	??	Celia van Gelder, Mateusz Kuzak, Yan Wang		Plan stewardship and sharing of FAIR outputs		('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000013	Knows what a DMP is	??	Know the purpose, the elements and the implementation of the data management plan. Know available templates and tooling that can be used to design DMP. 	??	Celia van Gelder, Mateusz Kuzak, Yan Wang		Plan stewardship and sharing of FAIR outputs	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000014	openness for sharing	??	Open attitude towards sharing research output outside the project, including both other researchers and public. 	??	Celia van Gelder, Mateusz Kuzak, Yan Wang		Plan stewardship and sharing of FAIR outputs	('has context' some Project); ('has context' only Project)	('has competency' some Attitudes); ('has competency' only Attitudes)				
fso:FSO_0000015	plan data sharing	??	Plan how the data will be shared within the project, with other researchers outside the project and the public. Investigate suitable data sharing platforms and their suitability for different sharing requirements. Consider all relevant legal aspects regarding data sharing. 	??	Celia van Gelder, Mateusz Kuzak, Yan Wang		Plan stewardship and sharing of FAIR outputs	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000016	Design	??	??	??	??		Plan	('has context' some Project); ('has context' only Project)					
fso:FSO_0000017	Model data structures and define database needs	??	??	??	??		Design						
fso:FSO_0000018	data modeling design	??	High level draft of the data structures for data anticipated to be generated in the project. Understanding of the structure of the data	??	Celia van Gelder, Mateusz Kuzak, Yan Wang		Model data structures and define database needs	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000019	define database requirements	??	Define the requirements for the database based on the data structure.	??	Celia van Gelder, Mateusz Kuzak, Yan Wang		Model data structures and define database needs	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
fso:FSO_0000020	Specify metadata and persistent id. standards	??	??	??	??		Design						
fso:FSO_0000021	know metadata standards	??	Know metadata standards endorsed by the communities in your domain and required by relevant repositories. If there is no preferred standard, know the generic ones (e.g. Dublin core.)	??	Celia van Gelder, Mateusz Kuzak, Yan Wang		Specify metadata and persistent id. standards	('has context' some Project); ('has context' only Project)	('has competency' some Knowledge); ('has competency' only Knowledge)				
fso:FSO_0000022	select metadata standard	??	Select metadata standards based on community recommentation or/and repository requirements. The chosen one should support interoperability within the research domain ecosystem. 	??	Celia van Gelder, Mateusz Kuzak, Yan Wang		Specify metadata and persistent id. standards	('has context' some Project); ('has context' only Project)	('has competency' some Skills); ('has competency' only Skills)				
