ID	Label	Definition	Definition Source	Editor	Parent Class	Comment
ID	A rdfs:label	A IAO:0000115	>A IAO:0000119	A IAO:0000117	SC %	A rdfs:comment
IAO:0000115	definition	The official definition, explaining the meaning of a class or property. Shall be Aristotelian, formalized and normalized. Can be augmented with colloquial definitions.	IAO	Allyson Lister	owl:AnnotationProperty							
IAO:0000117	term editor	Name of editor entering the term in the file. The term editor is a point of contact for information regarding the term. The term editor may be, but is not always, the author of the definition, which may have been worked upon by several people	IAO	Peter McQuilton	owl:AnnotationProperty							
IAO:0000118	alternative term	An alternative name for a class or property which means the same thing as the preferred name (semantically equivalent)	IAO	Allyson Lister	owl:AnnotationProperty							
IAO:0000119	definition source	formal citation, e.g. identifier in external database to indicate / attribute source(s) for the definition. Free text indicate / attribute source(s) for the definition. EXAMPLE: Author Name, URI, MeSH Term C04, PUBMED ID, Wiki uri on 31.01.2007	IAO	Peter McQuilton	owl:AnnotationProperty							
fso/FSO_0000301	activity	??	??	??		owl:Thing						
RdIh094ofFa20fOa8iHBMo	technical concept	??	??	??		owl:Thing						
R7k3RpzeH63e1iJdmnzHfWE	Person/Individual	??	??	??		owl:Thing						
http://www.fairsharing.org/fso/FSO_0000007	Soft Skill	??	??	??		owl:Thing						
http://fairsharing.org/fso/FSO_0011350	Archiving	"A curation activity that ensures that data are properly selected, stored, and can be accessed, and for which logical and physical integrity are maintained over time, including security and authenticity."	CASRAI. https://casrai.org/term/archiving/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011351	Audit	"An independent evaluation of an organization, system, process, project or product."	CASRAI. https://casrai.org/term/audit/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011352	Authentication	The process of confirming the identity of a principal entity.	CASRAI. https://casrai.org/term/authentication/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011353	Cataloguing	"An intellectual process of describing objects in accordance with accepted library principles, particularly those of subject and classification order."	CASRAI. https://casrai.org/term/cataloguing/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011354	Change management 	"A systematic approach to dealing with change, both from the perspective of an organization and on the individual level."	CASRAI. https://casrai.org/term/change-management/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011355	Curation	The activity of managing and promoting the use of data from their point of creation to ensure that they are fit for contemporary purpose and available for discovery and reuse.	CASRAI. https://casrai.org/term/curation/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011356	Data acquisition	"The process of acquiring data from some source. For example, data may be acquired by download from a repository, transfer from a data logger, data capture, etc."	CASRAI. https://casrai.org/term/data-acquisition/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011357	Data analysis	A data lifecycle stage that involves the techniques that produce synthesized knowledge from organized information.	CASRAI. https://casrai.org/term/data-analysis/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011358	Data capture	"The process or means of obtaining and storing external data, particularly images or sounds, for use at a later time."	CASRAI. https://casrai.org/term/data-capture/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011359	Data citation	Offers proper recognition to authors as well as permanent identification through the use of global persistent identifiers in place of URLs which can change frequently.	CASRAI. https://casrai.org/term/data-citation/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011360	Data cleaning	A continuous process that requires corrective actions throughout the data lifecycle.	CASRAI. https://casrai.org/term/data-cleaning/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011361	Data curation	"A managed process, throughout the data lifecycle, by which data &amp; data collections are cleansed, documented, standardized, formatted and inter-related. This includes versioning data, or forming a new collection from several data sources, annotating with metadata, adding codes to raw data (e.g., classifying a galaxy image with a galaxy type such as spiral)."	CASRAI. https://casrai.org/term/data-curation/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011362	Data de-noising	Removing noise from data.	CASRAI. https://casrai.org/term/data-de-noising/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011363	Data destruction	"The process of destroying data stored on tapes, hard disks and other forms of electronic media so that it is completely unreadable and cannot be accessed or used."	CASRAI. https://casrai.org/term/data-destruction/		activity	CASRAI
http://fairsharing.org/fso/FSO_0011364	Data dredging	"A data mining practice in which large volumes of data are analyzed seeking any possible relationships between data. The traditional scientific method, in contrast, begins with a hypothesis and follows with an examination of the data."	CASRAI. https://casrai.org/term/data-dredging/	Peter McQuilton	activity	CASRAI
http://fairsharing.org/fso/FSO_0011365	Data driven decision management	An approach to governance that values decisions that can be backed up with data that can be verified. The success of the data-driven approach is reliant upon the quality of the data gathered and the effectiveness of its analysis and interpretation.	CASRAI. https://casrai.org/term/data-driven-decision-management/	Peter McQuilton	activity	CASRAI
