LABEL	Parent	Definition	IAO:0000117	IAO:0000118	obo:T4FS_0000564	obo:T4FS_0000565	oboInOwl:created_by	oboInOwl:creation_date	rdfs:comment
LABEL	SC % SPLIT=|	A definition	A 'term editor'	A Alternative term	A alternative definition	A alternative definition source	A created by	A creation date	A comment
A knowledge for resource management	Resource management	Bin for types of Knowledge related to Resource management	leightonlc
A1. (Meta)data are retrievable by their identifier using a standardised communications protocol	Accessibility of digital assets		Peter McQuilton
A1.1 The protocol is open, free, and universally implementable	A1. (Meta)data are retrievable by their identifier using a standardised communications protocol		Peter McQuilton
A1.2 The protocol allows for an authentication and authorisation procedure, where necessary	A1. (Meta)data are retrievable by their identifier using a standardised communications protocol		Peter McQuilton
A2. Metadata are accessible, even when the data are no longer available	Accessibility of digital assets		Peter McQuilton
Ability to learn new techniques for fair implementation	'has/wants competency in' only 'Data stewardship soft skill'|'has/wants competency in' some 'Data stewardship soft skill'|Aptitudes associated with using fair tools and services	Demonstrate willingness to engage with new ways of applying FAIR principles.	Angus Whyte
Ability to solve fair implementation problems collaboratively	'has/wants competency in' only 'Data stewardship soft skill'|'has/wants competency in' some 'Data stewardship soft skill'|Ability to learn new techniques for fair implementation	Demonstrate ability to involve others and share responsibility for applying FAIR principles.	Angus Whyte
Access	Data stewardship technical concept	The continued, available for use, ongoing usability of a digital resource, retaining all qualities of authenticity, accuracy and functionality deemed to be essential for the purposes the digital material was created and/or acquired for. Users who have access can retrieve, manipulate, copy, and store copies on a wide range of hard drives and external devices.	Peter McQuilton
Access control and management	Publish data
Access control list	Access	A list used to grant permission matched against credentials.	Peter McQuilton
Access controls	Access	Given a data object name, access controls define access relationships between the following metadata: data object name, a user name (or user group, or user role), and access permission. The information can be stored as metadata information associated with each data object. The information can be generated dynamically by applying the access controls of the collection that organizes the data objects.	Peter McQuilton
Access risk assessment and mitigation	Information security	Obtain an overview of information access status for different stakeholder groups. Check this overview against the organizational information access policy and risk catalogue, identify the type of information security risks based on the mismatch between the current status and policy. Choose and implement the right protocal to mitigate the risk.	Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang
Access workflow	Access	A type of access entity that contains the services and functions which make the data object holdings and their information content and related services visible to data consumers.	Peter McQuilton
Accessibility of digital assets	FAIR principle		Peter McQuilton
Accession number	'contributes to the implementation of' some 'F1. (Meta)data are assigned a globally unique and persistent identifier'|Identifier	Numbers used by the National Center for Biotechnology Information (NCBI) that are unique and citable.	Peter McQuilton
Advise and mentor	'supports implementation of' some 'FAIR principle'|Data stewardship activity	Management and provision of good data stewardship practice.	Allyson Lister|Peter McQuilton|Philippe Rocca-Serra|Susanna Sansone	Advise and enable|Data Stewardship and FAIR mentorship activity|data management and open research					AL 9.3.22. Removed from 'FAIR4S defined activity' class to better integrate with the T4FS hierarchy.
Analytical quality control	Data stewardship technical concept	Processes and procedures designed to ensure that the results of laboratory analysis are consistent, comparable, accurate and within specified limits of precision.	Peter McQuilton
Analytics	Data stewardship technical concept	The discovery of meaningful multidimensional patterns in data.	Peter McQuilton
Application of fair tools and services	Using FAIR and open research tools or services						HughShanahan	2019-10-18T08:45:02.980527Z
Apply data access policy	Access control and management	Define data access policy based on project requirements. Provide access to autorised parties.	Celia van Gelder|Mateusz Kuzak|Yan Wang
Appreciate importance of crediting research contributions	'has/wants competency in' only 'Data stewardship soft skill'|'has/wants competency in' some 'Data stewardship soft skill'|Research integrity, attribution, impact awareness	Understand how the rewards for effort depend on crediting the contributions of researchers and professional groups towards making FAIR outputs.	Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang
Appreciate importance of research integrity	'has/wants competency in' only 'Data stewardship soft skill'|'has/wants competency in' some 'Data stewardship soft skill'|Research integrity, attribution, impact awareness	Take proactive approach to ensure outputs are made FAIR consistently with research integrity principles.	Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang
Appreciate security and usability trade-offs	'has/wants competency in' only 'Data stewardship soft skill'|'has/wants competency in' some 'Data stewardship soft skill'|Information security	Be aware of the potential conflicts between security and usability. Understand the importance of having information security policy and keeping a balance between the information security and usability. Willing to establish both organization and technical information security measurements.	Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang
Appreciation of FAIR and open research	'has/wants competency in' only 'Data stewardship soft skill'|'has/wants competency in' some 'Data stewardship soft skill'|Develop open research strategy and vision	Recognize the added value of FAIR and open research, encourage researchers to practise FAIR and open research.	Angus Whyte|Celia van Gelder|Mateusz Kuzak|Yan Wang
Aptitudes associated with using fair tools and services	Using FAIR and open research tools or services						HughShanahan	2019-10-18T08:56:32.673701Z
Aptitudes for authorisation management	Authorisation management	Bin for Aptitudes related to Authorization management.	leightonlc
Aptitudes for change management	Change management	Bin for Aptitudes related to Change management.	leightonlc
Aptitudes for cloud computing environment management	Cloud computing environment management	Bin for Aptitudes related to Cloud computing environment management.	leightonlc
Aptitudes for data management costs management	Data management costs management	Bin for Aptitudes related to Data management costs management.	leightonlc
Aptitudes for funding acquisition management	Funding acquisition management	Bin for Aptitudes related to Funding acquisition management.	leightonlc
Aptitudes for high performance computing management	High performance computing management	Bin for Aptitudes related to High performance computing management.	leightonlc
Aptitudes for identity management	Identity management	Bin for Aptitudes related to Identity management.	leightonlc
Aptitudes for preservation costs management	Preservation costs management	Bin for Aptitudes related to Preservation costs management.	leightonlc
Aptitudes for provenance information management	Provenance information management	Bin for Aptitudes related to Provenance information management.	leightonlc
Aptitudes for resource management	'has/wants competency in' some 'Data stewardship soft skill'|Resource management	Bin for Aptitudes related to Resource management.	leightonlc
Aptitudes for service level management	Service level management	Bin for Aptitudes related to Service level management.	leightonlc
Aptitudes for storage management	Storage management	Bin for Aptitudes related to Storage management.	leightonlc
Aptitudes for workflow technologies management	Workflow technologies management	Bin for Aptitudes related to Workflow technologies management.	leightonlc
