ID	Label	Type	DOMAIN	RANGE	Inverse Property	IAO:0000115	IAO:0000119	IAO:0000117	oboInOwl:created_by	oboInOwl:creation_date	rdfs:comment	obo:IAO_0000233
ID	AL rdfs:label@en	TYPE	DOMAIN	RANGE	IP %	AL definition@en	>AL 'definition source'@en	AL 'term editor'@en SPLIT=|	AL 'created by'@en SPLIT=|	A creation date	AL rdfs:comment@en	AL 'term tracker item'@en SPLIT=|
obo:T4FS_0000564	alternative definition	owl:AnnotationProperty							Peter McQuilton	2019-10-17T13:38:16.742124Z		
obo:T4FS_0000565	alternative definition source	owl:AnnotationProperty							Peter McQuilton	2019-10-17T13:39:13.568975Z		
IAO:0000118	alternative term	owl:AnnotationProperty				An alternative name for a class or property which means the same thing as the preferred name (semantically equivalent)	IAO					
obo:T4FS_0000575	competency gained through	owl:ObjectProperty	obo:T4FS_0000012	obo:T4FS_0000519	obo:T4FS_0000554	The learning media that creates a competence or capability.	https://orcid.org/0000-0002-7702-4495	https://orcid.org/0000-0002-7702-4495	https://orcid.org/0000-0002-7702-4495		Allyson Lister 13.9.22: This class is created as the inverse of confers/requires competency about to allow consistent reasoning and access to the Data stewardship guidelines for Data stewardship activities. It needs to be revisited by the entire team to check the model.	
obo:T4FS_0000554	confers competency about	owl:ObjectProperty	obo:T4FS_0000519	obo:T4FS_0000012		Describes how a learning medium is intended to confer a competence or capability regarding a particular data stewardship activity, e.g. a presentation confering competency in metadata creation.	https://orcid.org/0000-0002-7702-4495	https://orcid.org/0000-0002-7702-4495|Peter McQuilton	Peter McQuilton	2020-10-01T21:36:11.080721Z		
obo:T4FS_0000581	confers compliance with	owl:ObjectProperty	obo:T4FS_0000580	obo:T4FS_0000446		Describes how an evaluation indicator may confer compliance with a particular guideline or set of guidelines	https://orcid.org/0000-0002-7702-4495	https://orcid.org/0000-0002-7702-4495				https://github.com/terms4fairskills/FAIRterminology/issues/22
obo:T4FS_0000555	confers knowledge about	owl:ObjectProperty	obo:T4FS_0000519	obo:T4FS_0000372		Describes how a learning medium is intended to confer knowledge of a particular data stewardship technical concept in order for that learning medium to perform its function, e.g. a presentation conferring competency in metadata.	https://orcid.org/0000-0002-7702-4495	https://orcid.org/0000-0002-7702-4495|Peter McQuilton	Peter McQuilton	2020-12-06 00:00:00		
obo:T4FS_0000557	confers practical skill about	owl:ObjectProperty	obo:T4FS_0000519	obo:T4FS_0000372		Describes how a learning medium confers practical skills regarding a particular data stewardship technical concept in order for that learning medium to perform its function e.g. a workshop conferring a practical skill in repository access.	https://orcid.org/0000-0002-7702-4495	https://orcid.org/0000-0002-7702-4495|Peter McQuilton	Peter McQuilton	2020-12-06 00:00:00		
obo:T4FS_0000563	contributes to the implementation of	owl:ObjectProperty	obo:T4FS_0000372	obo:T4FS_0000446				https://orcid.org/0000-0002-7702-4495|Peter McQuilton	Peter McQuilton	2021-03-22T15:25:13.443153Z		
oboInOwl:created_by	created by	owl:AnnotationProperty										
oboInOwl:creation_date	creation date	owl:AnnotationProperty										
IAO:0000115	definition	owl:AnnotationProperty				The official definition, explaining the meaning of a class or property. Shall be Aristotelian, formalized and normalized. Can be augmented with colloquial definitions.	IAO		https://orcid.org/0000-0002-7702-4495		Allyson Lister 8.10.2019: Although the IAO definition has been included here, we have made a curation decision to allow non-Aristotelian definitions.	
IAO:0000119	definition source	owl:AnnotationProperty				Formal citation, e.g. identifier in external database to indicate / attribute source(s) for the definition. Free text indicate / attribute source(s) for the definition. EXAMPLE: Author Name, URI, MeSH Term C04, PUBMED ID, Wiki uri on 31.01.2007	IAO		https://orcid.org/0000-0002-7702-4495|Peter McQuilton			
obo:T4FS_0000582	demonstrates how to fulfil the requirements for	owl:ObjectProperty	obo:T4FS_0000519	obo:T4FS_0000580		A learning medium may demonstrate how to meet the requirements for a particular evaluation indicator(s).	https://orcid.org/0000-0002-7702-4495	https://orcid.org/0000-0002-7702-4495				https://github.com/terms4fairskills/FAIRterminology/issues/22
obo:T4FS_0000562	has aptitude for	owl:ObjectProperty	BFO:0000023	obo:T4FS_0000548				https://orcid.org/0000-0002-7702-4495|Peter McQuilton	Peter McQuilton	2021-03-24T15:33:43.476917Z		
obo:T4FS_0000558	has/wants competency in	owl:ObjectProperty	BFO:0000023	obo:T4FS_0000012		Describes how an expertise level or role (e.g. "data steward") is associated with a data stewardship activity (e.g. ‘workflow set-up and management’) to indicate whether someone has an awareness of the area, or an ability to do it, or expert knowledge of it.	https://orcid.org/0000-0002-7702-4495	https://orcid.org/0000-0002-7702-4495|Peter McQuilton			Definition added 8.2.22	
obo:T4FS_0000559	has/wants knowledge about	owl:ObjectProperty	BFO:0000023	(obo:T4FS_0000372 or obo:T4FS_0000446)				https://orcid.org/0000-0002-7702-4495|Peter McQuilton				
obo:T4FS_0000561	has/wants practical skill about	owl:ObjectProperty	BFO:0000023	obo:T4FS_0000372		Desires/has a competence or capability acquired or applied in a specific context, e.g. producing a research output or deploying a service. A skill may be specified in a ‘skills user story’. A badge or certificate may provide evidence that a skill has been acquired, and a publication, personal profile, portfolio or CV may provide evidence that a skill has been applied.	FAIR4S	https://orcid.org/0000-0002-7702-4495|Peter McQuilton	Peter McQuilton			
obo:T4FS_0000553	reference URL	owl:DataProperty										
obo:T4FS_0000576	requires competency about	owl:ObjectProperty	obo:T4FS_0000519	obo:T4FS_0000012		Describes how a learning medium requires competency in a particular data stewardship activity in order for that learning medium to perform its function, e.g. a presentation requiring competency in metadata creation prior to engaging with that learning medium.	https://orcid.org/0000-0002-7702-4495					
obo:T4FS_0000577	requires knowledge about	owl:ObjectProperty	obo:T4FS_0000519	obo:T4FS_0000372		Describes how a learning medium requires knowledge of a particular data stewardship technical concept in order for that learning medium to perform its function, e.g. a presentation requiring knowledge of metadata.	https://orcid.org/0000-0002-7702-4495					
obo:T4FS_0000578	requires practical skill about	owl:ObjectProperty	obo:T4FS_0000519	obo:T4FS_0000372		Describes how a learning medium requires practical skills of a particular data stewardship technical concept in order for that learning medium to perform its function e.g. a workshop requiring a practical skill in repository access.	https://orcid.org/0000-0002-7702-4495					
obo:T4FS_0000556	requires/improves personal attribute	owl:ObjectProperty	(obo:T4FS_0000012 or obo:T4FS_0000519)	obo:T4FS_0000548				https://orcid.org/0000-0002-7702-4495	Peter McQuilton			
obo:T4FS_0000560	supports implementation of	owl:ObjectProperty	obo:T4FS_0000519	obo:T4FS_0000446				https://orcid.org/0000-0002-7702-4495	Peter McQuilton			
