ID	LABEL	Parent	IAO:0000115	IAO:0000119	IAO:0000117	IAO:0000118	obo:T4FS_0000564	obo:T4FS_0000565	oboInOwl:created_by	oboInOwl:creation_date	rdfs:comment	owl:deprecated	obo:IAO_0000233
ID	AL rdfs:label@en	SC % SPLIT=|	AL definition@en	>AL 'definition source'@en	AL 'term editor'@en SPLIT=|	AL 'alternative term'@en SPLIT=|	AL 'alternative definition'@en	AL 'alternative definition source'@en	AL 'created by'@en	A creation date	AL comment@en	AT owl:deprecated^^xsd:boolean	AL 'term tracker item'@en SPLIT=|
obo:T4FS_0000088	a knowledge for resource management	resource management	Bin for types of Knowledge related to Resource management		leightonlc								
obo:T4FS_0000038	A1. (meta)data are retrievable by their identifier using a standardised communications protocol	accessibility of digital assets			https://orcid.org/0000-0003-2687-1982								
obo:T4FS_0000103	A1.1 the protocol is open, free, and universally implementable	A1. (meta)data are retrievable by their identifier using a standardised communications protocol			https://orcid.org/0000-0003-2687-1982								
obo:T4FS_0000371	A1.2 the protocol allows for an authentication and authorisation procedure, where necessary	A1. (meta)data are retrievable by their identifier using a standardised communications protocol			https://orcid.org/0000-0003-2687-1982								
obo:T4FS_0000438	A2. metadata are accessible, even when the data are no longer available	accessibility of digital assets			https://orcid.org/0000-0003-2687-1982								
obo:T4FS_0000399	ability to learn new techniques for fair implementation	'requires/improves personal attribute' only 'data stewardship soft skill'|'requires/improves personal attribute' some 'data stewardship soft skill'|aptitudes associated with using fair tools and services	Demonstrate willingness to engage with new ways of applying FAIR principles.		Angus Whyte								
obo:T4FS_0000129	ability to solve fair implementation problems collaboratively	ability to learn new techniques for fair implementation	Demonstrate ability to involve others and share responsibility for applying FAIR principles.	[PMQ, 3.2022]	Angus Whyte								
obo:T4FS_0000283	access	data stewardship technical concept	Continued availability and ongoing usability of a digital resource, retaining all qualities of authenticity, accuracy and functionality deemed to be essential for the purposes the digital material was created and/or acquired for. Users who have access can retrieve, understand, manipulate, and store copies. 	RDMT. https://terms.codata.org/rdmt/access	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
obo:T4FS_0000469	access control and management	publish data											
obo:T4FS_0000463	access control list	access	A list used to grant permission matched against credentials.	Definition from now-deprecated CASRAI Glossary term: access-control-list.	https://orcid.org/0000-0003-2687-1982|https://orcid.org/0000-0002-5214-4466								
